username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
edfenergy;2015-12-11 20:44;1;0;"This is Marsha signing off, enjoy your weekend! Our LiveChat advisors are line 24/7 to help: http:// bit.ly/1RJ10nH";;;;"675415829178097668";https://twitter.com/edfenergy/status/675415829178097668
edfenergy;2015-12-11 20:35;0;0;"@j0s3fk 2/2 Please see this link for info on help that may be available: http:// bit.ly/1RJ07vq ^Marsha";;@j0s3fk;;"675413645631856640";https://twitter.com/edfenergy/status/675413645631856640
JaneBB;2015-12-11 20:10;1;2;"@edfenergy To Kelly, Louise & Rachel, telephone operatives, want to thank you for superb service & best wishes to you all.";;@edfenergy;;"675407326245994496";https://twitter.com/JaneBB/status/675407326245994496
kldx;2015-12-11 18:38;0;1;"EDF are ringing people MANY times a day asking them to pay their bills, before they are due, two weeks before Christmas. Not on @edfenergy";Derby, England;@edfenergy;;"675384055794442241";https://twitter.com/kldx/status/675384055794442241
The_Sixth_Form;2015-12-11 17:38;2;4;"These two had fun today vising Hartlepool @edfenergy Power Station and meeting their mentors! #WorkExperience pic.twitter.com/xZXjALoVSt";;@edfenergy;#WorkExperience;"675369114685296642";https://twitter.com/The_Sixth_Form/status/675369114685296642
edfenergy;2015-12-11 16:57;0;0;"@1lblg 2/2 If you need help from us with resolving this situation please DM us your account number & phone, an advisor will call. Thks ^Ady";;@1lblg;;"675358650622476288";https://twitter.com/edfenergy/status/675358650622476288
chriskunkle;2015-12-11 16:33;3;7;"Great tour of an @edfenergy #wind farm in Dexter, MN this morning w/ @RepPoppe and Sen. Sparks! #mnleg pic.twitter.com/karpa3Pczv";;@edfenergy @RepPoppe;#wind #mnleg;"675352620203171844";https://twitter.com/chriskunkle/status/675352620203171844
SallesEs;2015-12-11 15:53;0;0;"EDF Energy secures Capacity Market agreements http:// media.edfenergy.com/r/992/edf_ener gy_secures_capacity_market_agreements_ ";;;;"675342532071563265";https://twitter.com/SallesEs/status/675342532071563265
chriskunkle;2015-12-11 14:59;0;2;"Looking forward to a tour of @edfenergy 's Wapsipinicon #wind farm, outside of Dexter, MN this morning! pic.twitter.com/wGJL5g8l2w";;@edfenergy;#wind;"675328941595430912";https://twitter.com/chriskunkle/status/675328941595430912
edfenergycomms;2015-12-11 14:55;0;0;"EDF Energy confirms it has secured agreements in the second capacity auction run by @nationalgriduk http:// bit.ly/1lTXNFb #CapacityMarket";;@nationalgriduk;#CapacityMarket;"675328075840794625";https://twitter.com/edfenergycomms/status/675328075840794625
IE_AmyD;2015-12-11 14:02;0;1;"Smart Cities Innovation Summit, Singapore 2016 with speakers from @EdfEnergy @ITU &many more http:// buff.ly/1NZjrER pic.twitter.com/5BHIRUGXxF";;@EdfEnergy @ITU;;"675314731570343936";https://twitter.com/IE_AmyD/status/675314731570343936
Kampyle;2015-12-11 13:07;0;1;""Implementing Kampyle was as easy as putting a tag on the site and providing a few assets". EDF Energy http:// hubs.ly/H01vwTd0 #CX";;;#CX;"675300760456962049";https://twitter.com/Kampyle/status/675300760456962049
myGwork;2015-12-11 12:50;0;0;"Great opportunity! @EDFEnergy is looking for someone to join them as Enterprise Architect: http:// ow.ly/VJQEQ #lgbtjobs #jobsearch";;@EDFEnergy;#lgbtjobs #jobsearch;"675296582426861569";https://twitter.com/myGwork/status/675296582426861569
edfenergy;2015-12-11 12:36;0;1;"@NEONGREENNET on fossil fuels to help meet the UK's legal obligations. ^Felice";;@NEONGREENNET;;"675293166690566144";https://twitter.com/edfenergy/status/675293166690566144
edfenergy;2015-12-11 12:36;0;1;"@NEONGREENNET 1/2 Our ambition is to provide the UK with reliable sources of low carbon energy and to reduce CO2 emissions with less";;@NEONGREENNET;;"675293026412068866";https://twitter.com/edfenergy/status/675293026412068866
edfenergy;2015-12-11 12:23;0;0;"@adrian774 Hi Adrian, can you please DM your account number & contact info so we can look into this for you. Thanks, Felice";;@adrian774;;"675289684516450304";https://twitter.com/edfenergy/status/675289684516450304
edfenergy;2015-12-11 12:11;0;0;"@Sarahhartley87 Hi Sarah, I'm sorry to hear this. If you DM your account number & contact info, an advisor will investigate. Thanks, Felice";;@Sarahhartley87;;"675286746091900928";https://twitter.com/edfenergy/status/675286746091900928
LindaFabianiSNP;2015-12-11 12:01;4;5;"Well done @edfenergy in East Kilbride, donating 500 to Loaves and Fishes pic.twitter.com/f3UQ4iiOQl";;@edfenergy;;"675284256214659072";https://twitter.com/LindaFabianiSNP/status/675284256214659072
LindaFabianiSNP;2015-12-11 11:56;5;4;"Well done @edfenergy staff in East Kilbride. Loads of Christmas gifts for EK families. pic.twitter.com/zXytYsEpej";;@edfenergy;;"675283091603202048";https://twitter.com/LindaFabianiSNP/status/675283091603202048
uddin_ruman;2015-12-11 11:36;0;1;"@edfenergy Thanks Simon. Please advise when you do as its only inevitable since you need to keep up with technology as well as competition!!";;@edfenergy;;"675278093741907968";https://twitter.com/uddin_ruman/status/675278093741907968
edfenergy;2015-12-11 20:44;1;0;"This is Marsha signing off, enjoy your weekend! Our LiveChat advisors are line 24/7 to help: http:// bit.ly/1RJ10nH";;;;"675415829178097668";https://twitter.com/edfenergy/status/675415829178097668
edfenergy;2015-12-11 20:35;0;0;"@j0s3fk 2/2 Please see this link for info on help that may be available: http:// bit.ly/1RJ07vq ^Marsha";;@j0s3fk;;"675413645631856640";https://twitter.com/edfenergy/status/675413645631856640
JaneBB;2015-12-11 20:10;1;2;"@edfenergy To Kelly, Louise & Rachel, telephone operatives, want to thank you for superb service & best wishes to you all.";;@edfenergy;;"675407326245994496";https://twitter.com/JaneBB/status/675407326245994496
kldx;2015-12-11 18:38;0;1;"EDF are ringing people MANY times a day asking them to pay their bills, before they are due, two weeks before Christmas. Not on @edfenergy";Derby, England;@edfenergy;;"675384055794442241";https://twitter.com/kldx/status/675384055794442241
The_Sixth_Form;2015-12-11 17:38;2;4;"These two had fun today vising Hartlepool @edfenergy Power Station and meeting their mentors! #WorkExperience pic.twitter.com/xZXjALoVSt";;@edfenergy;#WorkExperience;"675369114685296642";https://twitter.com/The_Sixth_Form/status/675369114685296642
edfenergy;2015-12-11 16:57;0;0;"@1lblg 2/2 If you need help from us with resolving this situation please DM us your account number & phone, an advisor will call. Thks ^Ady";;@1lblg;;"675358650622476288";https://twitter.com/edfenergy/status/675358650622476288
chriskunkle;2015-12-11 16:33;3;7;"Great tour of an @edfenergy #wind farm in Dexter, MN this morning w/ @RepPoppe and Sen. Sparks! #mnleg pic.twitter.com/karpa3Pczv";;@edfenergy @RepPoppe;#wind #mnleg;"675352620203171844";https://twitter.com/chriskunkle/status/675352620203171844
SallesEs;2015-12-11 15:53;0;0;"EDF Energy secures Capacity Market agreements http:// media.edfenergy.com/r/992/edf_ener gy_secures_capacity_market_agreements_ ";;;;"675342532071563265";https://twitter.com/SallesEs/status/675342532071563265
chriskunkle;2015-12-11 14:59;0;2;"Looking forward to a tour of @edfenergy 's Wapsipinicon #wind farm, outside of Dexter, MN this morning! pic.twitter.com/wGJL5g8l2w";;@edfenergy;#wind;"675328941595430912";https://twitter.com/chriskunkle/status/675328941595430912
edfenergycomms;2015-12-11 14:55;0;0;"EDF Energy confirms it has secured agreements in the second capacity auction run by @nationalgriduk http:// bit.ly/1lTXNFb #CapacityMarket";;@nationalgriduk;#CapacityMarket;"675328075840794625";https://twitter.com/edfenergycomms/status/675328075840794625
IE_AmyD;2015-12-11 14:02;0;1;"Smart Cities Innovation Summit, Singapore 2016 with speakers from @EdfEnergy @ITU &many more http:// buff.ly/1NZjrER pic.twitter.com/5BHIRUGXxF";;@EdfEnergy @ITU;;"675314731570343936";https://twitter.com/IE_AmyD/status/675314731570343936
Kampyle;2015-12-11 13:07;0;1;""Implementing Kampyle was as easy as putting a tag on the site and providing a few assets". EDF Energy http:// hubs.ly/H01vwTd0 #CX";;;#CX;"675300760456962049";https://twitter.com/Kampyle/status/675300760456962049
myGwork;2015-12-11 12:50;0;0;"Great opportunity! @EDFEnergy is looking for someone to join them as Enterprise Architect: http:// ow.ly/VJQEQ #lgbtjobs #jobsearch";;@EDFEnergy;#lgbtjobs #jobsearch;"675296582426861569";https://twitter.com/myGwork/status/675296582426861569
edfenergy;2015-12-11 12:36;0;1;"@NEONGREENNET on fossil fuels to help meet the UK's legal obligations. ^Felice";;@NEONGREENNET;;"675293166690566144";https://twitter.com/edfenergy/status/675293166690566144
edfenergy;2015-12-11 12:36;0;1;"@NEONGREENNET 1/2 Our ambition is to provide the UK with reliable sources of low carbon energy and to reduce CO2 emissions with less";;@NEONGREENNET;;"675293026412068866";https://twitter.com/edfenergy/status/675293026412068866
edfenergy;2015-12-11 12:23;0;0;"@adrian774 Hi Adrian, can you please DM your account number & contact info so we can look into this for you. Thanks, Felice";;@adrian774;;"675289684516450304";https://twitter.com/edfenergy/status/675289684516450304
edfenergy;2015-12-11 12:11;0;0;"@Sarahhartley87 Hi Sarah, I'm sorry to hear this. If you DM your account number & contact info, an advisor will investigate. Thanks, Felice";;@Sarahhartley87;;"675286746091900928";https://twitter.com/edfenergy/status/675286746091900928
LindaFabianiSNP;2015-12-11 12:01;4;5;"Well done @edfenergy in East Kilbride, donating 500 to Loaves and Fishes pic.twitter.com/f3UQ4iiOQl";;@edfenergy;;"675284256214659072";https://twitter.com/LindaFabianiSNP/status/675284256214659072
LindaFabianiSNP;2015-12-11 11:56;5;4;"Well done @edfenergy staff in East Kilbride. Loads of Christmas gifts for EK families. pic.twitter.com/zXytYsEpej";;@edfenergy;;"675283091603202048";https://twitter.com/LindaFabianiSNP/status/675283091603202048
uddin_ruman;2015-12-11 11:36;0;1;"@edfenergy Thanks Simon. Please advise when you do as its only inevitable since you need to keep up with technology as well as competition!!";;@edfenergy;;"675278093741907968";https://twitter.com/uddin_ruman/status/675278093741907968
edfenergy;2015-12-11 20:44;1;0;"This is Marsha signing off, enjoy your weekend! Our LiveChat advisors are line 24/7 to help: http:// bit.ly/1RJ10nH";;;;"675415829178097668";https://twitter.com/edfenergy/status/675415829178097668
edfenergy;2015-12-11 20:35;0;0;"@j0s3fk 2/2 Please see this link for info on help that may be available: http:// bit.ly/1RJ07vq ^Marsha";;@j0s3fk;;"675413645631856640";https://twitter.com/edfenergy/status/675413645631856640
JaneBB;2015-12-11 20:10;1;2;"@edfenergy To Kelly, Louise & Rachel, telephone operatives, want to thank you for superb service & best wishes to you all.";;@edfenergy;;"675407326245994496";https://twitter.com/JaneBB/status/675407326245994496
kldx;2015-12-11 18:38;0;1;"EDF are ringing people MANY times a day asking them to pay their bills, before they are due, two weeks before Christmas. Not on @edfenergy";Derby, England;@edfenergy;;"675384055794442241";https://twitter.com/kldx/status/675384055794442241
The_Sixth_Form;2015-12-11 17:38;2;4;"These two had fun today vising Hartlepool @edfenergy Power Station and meeting their mentors! #WorkExperience pic.twitter.com/xZXjALoVSt";;@edfenergy;#WorkExperience;"675369114685296642";https://twitter.com/The_Sixth_Form/status/675369114685296642
edfenergy;2015-12-11 16:57;0;0;"@1lblg 2/2 If you need help from us with resolving this situation please DM us your account number & phone, an advisor will call. Thks ^Ady";;@1lblg;;"675358650622476288";https://twitter.com/edfenergy/status/675358650622476288
chriskunkle;2015-12-11 16:33;3;7;"Great tour of an @edfenergy #wind farm in Dexter, MN this morning w/ @RepPoppe and Sen. Sparks! #mnleg pic.twitter.com/karpa3Pczv";;@edfenergy @RepPoppe;#wind #mnleg;"675352620203171844";https://twitter.com/chriskunkle/status/675352620203171844
SallesEs;2015-12-11 15:53;0;0;"EDF Energy secures Capacity Market agreements http:// media.edfenergy.com/r/992/edf_ener gy_secures_capacity_market_agreements_ ";;;;"675342532071563265";https://twitter.com/SallesEs/status/675342532071563265
chriskunkle;2015-12-11 14:59;0;2;"Looking forward to a tour of @edfenergy 's Wapsipinicon #wind farm, outside of Dexter, MN this morning! pic.twitter.com/wGJL5g8l2w";;@edfenergy;#wind;"675328941595430912";https://twitter.com/chriskunkle/status/675328941595430912
edfenergycomms;2015-12-11 14:55;0;0;"EDF Energy confirms it has secured agreements in the second capacity auction run by @nationalgriduk http:// bit.ly/1lTXNFb #CapacityMarket";;@nationalgriduk;#CapacityMarket;"675328075840794625";https://twitter.com/edfenergycomms/status/675328075840794625
IE_AmyD;2015-12-11 14:02;0;1;"Smart Cities Innovation Summit, Singapore 2016 with speakers from @EdfEnergy @ITU &many more http:// buff.ly/1NZjrER pic.twitter.com/5BHIRUGXxF";;@EdfEnergy @ITU;;"675314731570343936";https://twitter.com/IE_AmyD/status/675314731570343936
Kampyle;2015-12-11 13:07;0;1;""Implementing Kampyle was as easy as putting a tag on the site and providing a few assets". EDF Energy http:// hubs.ly/H01vwTd0 #CX";;;#CX;"675300760456962049";https://twitter.com/Kampyle/status/675300760456962049
myGwork;2015-12-11 12:50;0;0;"Great opportunity! @EDFEnergy is looking for someone to join them as Enterprise Architect: http:// ow.ly/VJQEQ #lgbtjobs #jobsearch";;@EDFEnergy;#lgbtjobs #jobsearch;"675296582426861569";https://twitter.com/myGwork/status/675296582426861569
edfenergy;2015-12-11 12:36;0;1;"@NEONGREENNET on fossil fuels to help meet the UK's legal obligations. ^Felice";;@NEONGREENNET;;"675293166690566144";https://twitter.com/edfenergy/status/675293166690566144
edfenergy;2015-12-11 12:36;0;1;"@NEONGREENNET 1/2 Our ambition is to provide the UK with reliable sources of low carbon energy and to reduce CO2 emissions with less";;@NEONGREENNET;;"675293026412068866";https://twitter.com/edfenergy/status/675293026412068866
edfenergy;2015-12-11 12:23;0;0;"@adrian774 Hi Adrian, can you please DM your account number & contact info so we can look into this for you. Thanks, Felice";;@adrian774;;"675289684516450304";https://twitter.com/edfenergy/status/675289684516450304
edfenergy;2015-12-11 12:11;0;0;"@Sarahhartley87 Hi Sarah, I'm sorry to hear this. If you DM your account number & contact info, an advisor will investigate. Thanks, Felice";;@Sarahhartley87;;"675286746091900928";https://twitter.com/edfenergy/status/675286746091900928
LindaFabianiSNP;2015-12-11 12:01;4;5;"Well done @edfenergy in East Kilbride, donating 500 to Loaves and Fishes pic.twitter.com/f3UQ4iiOQl";;@edfenergy;;"675284256214659072";https://twitter.com/LindaFabianiSNP/status/675284256214659072
LindaFabianiSNP;2015-12-11 11:56;5;4;"Well done @edfenergy staff in East Kilbride. Loads of Christmas gifts for EK families. pic.twitter.com/zXytYsEpej";;@edfenergy;;"675283091603202048";https://twitter.com/LindaFabianiSNP/status/675283091603202048
uddin_ruman;2015-12-11 11:36;0;1;"@edfenergy Thanks Simon. Please advise when you do as its only inevitable since you need to keep up with technology as well as competition!!";;@edfenergy;;"675278093741907968";https://twitter.com/uddin_ruman/status/675278093741907968
edfenergy;2015-12-11 20:44;1;0;"This is Marsha signing off, enjoy your weekend! Our LiveChat advisors are line 24/7 to help: http:// bit.ly/1RJ10nH";;;;"675415829178097668";https://twitter.com/edfenergy/status/675415829178097668
edfenergy;2015-12-11 20:35;0;0;"@j0s3fk 2/2 Please see this link for info on help that may be available: http:// bit.ly/1RJ07vq ^Marsha";;@j0s3fk;;"675413645631856640";https://twitter.com/edfenergy/status/675413645631856640
JaneBB;2015-12-11 20:10;1;2;"@edfenergy To Kelly, Louise & Rachel, telephone operatives, want to thank you for superb service & best wishes to you all.";;@edfenergy;;"675407326245994496";https://twitter.com/JaneBB/status/675407326245994496
kldx;2015-12-11 18:38;0;1;"EDF are ringing people MANY times a day asking them to pay their bills, before they are due, two weeks before Christmas. Not on @edfenergy";Derby, England;@edfenergy;;"675384055794442241";https://twitter.com/kldx/status/675384055794442241
The_Sixth_Form;2015-12-11 17:38;2;4;"These two had fun today vising Hartlepool @edfenergy Power Station and meeting their mentors! #WorkExperience pic.twitter.com/xZXjALoVSt";;@edfenergy;#WorkExperience;"675369114685296642";https://twitter.com/The_Sixth_Form/status/675369114685296642
edfenergy;2015-12-11 16:57;0;0;"@1lblg 2/2 If you need help from us with resolving this situation please DM us your account number & phone, an advisor will call. Thks ^Ady";;@1lblg;;"675358650622476288";https://twitter.com/edfenergy/status/675358650622476288
chriskunkle;2015-12-11 16:33;3;7;"Great tour of an @edfenergy #wind farm in Dexter, MN this morning w/ @RepPoppe and Sen. Sparks! #mnleg pic.twitter.com/karpa3Pczv";;@edfenergy @RepPoppe;#wind #mnleg;"675352620203171844";https://twitter.com/chriskunkle/status/675352620203171844
SallesEs;2015-12-11 15:53;0;0;"EDF Energy secures Capacity Market agreements http:// media.edfenergy.com/r/992/edf_ener gy_secures_capacity_market_agreements_ ";;;;"675342532071563265";https://twitter.com/SallesEs/status/675342532071563265
chriskunkle;2015-12-11 14:59;0;2;"Looking forward to a tour of @edfenergy 's Wapsipinicon #wind farm, outside of Dexter, MN this morning! pic.twitter.com/wGJL5g8l2w";;@edfenergy;#wind;"675328941595430912";https://twitter.com/chriskunkle/status/675328941595430912
edfenergycomms;2015-12-11 14:55;0;0;"EDF Energy confirms it has secured agreements in the second capacity auction run by @nationalgriduk http:// bit.ly/1lTXNFb #CapacityMarket";;@nationalgriduk;#CapacityMarket;"675328075840794625";https://twitter.com/edfenergycomms/status/675328075840794625
IE_AmyD;2015-12-11 14:02;0;1;"Smart Cities Innovation Summit, Singapore 2016 with speakers from @EdfEnergy @ITU &many more http:// buff.ly/1NZjrER pic.twitter.com/5BHIRUGXxF";;@EdfEnergy @ITU;;"675314731570343936";https://twitter.com/IE_AmyD/status/675314731570343936
Kampyle;2015-12-11 13:07;0;1;""Implementing Kampyle was as easy as putting a tag on the site and providing a few assets". EDF Energy http:// hubs.ly/H01vwTd0 #CX";;;#CX;"675300760456962049";https://twitter.com/Kampyle/status/675300760456962049
myGwork;2015-12-11 12:50;0;0;"Great opportunity! @EDFEnergy is looking for someone to join them as Enterprise Architect: http:// ow.ly/VJQEQ #lgbtjobs #jobsearch";;@EDFEnergy;#lgbtjobs #jobsearch;"675296582426861569";https://twitter.com/myGwork/status/675296582426861569
edfenergy;2015-12-11 12:36;0;1;"@NEONGREENNET on fossil fuels to help meet the UK's legal obligations. ^Felice";;@NEONGREENNET;;"675293166690566144";https://twitter.com/edfenergy/status/675293166690566144
edfenergy;2015-12-11 12:36;0;1;"@NEONGREENNET 1/2 Our ambition is to provide the UK with reliable sources of low carbon energy and to reduce CO2 emissions with less";;@NEONGREENNET;;"675293026412068866";https://twitter.com/edfenergy/status/675293026412068866
edfenergy;2015-12-11 12:23;0;0;"@adrian774 Hi Adrian, can you please DM your account number & contact info so we can look into this for you. Thanks, Felice";;@adrian774;;"675289684516450304";https://twitter.com/edfenergy/status/675289684516450304
edfenergy;2015-12-11 12:11;0;0;"@Sarahhartley87 Hi Sarah, I'm sorry to hear this. If you DM your account number & contact info, an advisor will investigate. Thanks, Felice";;@Sarahhartley87;;"675286746091900928";https://twitter.com/edfenergy/status/675286746091900928
LindaFabianiSNP;2015-12-11 12:01;4;5;"Well done @edfenergy in East Kilbride, donating 500 to Loaves and Fishes pic.twitter.com/f3UQ4iiOQl";;@edfenergy;;"675284256214659072";https://twitter.com/LindaFabianiSNP/status/675284256214659072
LindaFabianiSNP;2015-12-11 11:56;5;4;"Well done @edfenergy staff in East Kilbride. Loads of Christmas gifts for EK families. pic.twitter.com/zXytYsEpej";;@edfenergy;;"675283091603202048";https://twitter.com/LindaFabianiSNP/status/675283091603202048
uddin_ruman;2015-12-11 11:36;0;1;"@edfenergy Thanks Simon. Please advise when you do as its only inevitable since you need to keep up with technology as well as competition!!";;@edfenergy;;"675278093741907968";https://twitter.com/uddin_ruman/status/675278093741907968
edfenergy;2015-12-11 20:44;1;0;"This is Marsha signing off, enjoy your weekend! Our LiveChat advisors are line 24/7 to help: http:// bit.ly/1RJ10nH";;;;"675415829178097668";https://twitter.com/edfenergy/status/675415829178097668
edfenergy;2015-12-11 20:35;0;0;"@j0s3fk 2/2 Please see this link for info on help that may be available: http:// bit.ly/1RJ07vq ^Marsha";;@j0s3fk;;"675413645631856640";https://twitter.com/edfenergy/status/675413645631856640
JaneBB;2015-12-11 20:10;1;2;"@edfenergy To Kelly, Louise & Rachel, telephone operatives, want to thank you for superb service & best wishes to you all.";;@edfenergy;;"675407326245994496";https://twitter.com/JaneBB/status/675407326245994496
kldx;2015-12-11 18:38;0;1;"EDF are ringing people MANY times a day asking them to pay their bills, before they are due, two weeks before Christmas. Not on @edfenergy";Derby, England;@edfenergy;;"675384055794442241";https://twitter.com/kldx/status/675384055794442241
The_Sixth_Form;2015-12-11 17:38;2;4;"These two had fun today vising Hartlepool @edfenergy Power Station and meeting their mentors! #WorkExperience pic.twitter.com/xZXjALoVSt";;@edfenergy;#WorkExperience;"675369114685296642";https://twitter.com/The_Sixth_Form/status/675369114685296642
edfenergy;2015-12-11 16:57;0;0;"@1lblg 2/2 If you need help from us with resolving this situation please DM us your account number & phone, an advisor will call. Thks ^Ady";;@1lblg;;"675358650622476288";https://twitter.com/edfenergy/status/675358650622476288
chriskunkle;2015-12-11 16:33;3;7;"Great tour of an @edfenergy #wind farm in Dexter, MN this morning w/ @RepPoppe and Sen. Sparks! #mnleg pic.twitter.com/karpa3Pczv";;@edfenergy @RepPoppe;#wind #mnleg;"675352620203171844";https://twitter.com/chriskunkle/status/675352620203171844
SallesEs;2015-12-11 15:53;0;0;"EDF Energy secures Capacity Market agreements http:// media.edfenergy.com/r/992/edf_ener gy_secures_capacity_market_agreements_ ";;;;"675342532071563265";https://twitter.com/SallesEs/status/675342532071563265
chriskunkle;2015-12-11 14:59;0;2;"Looking forward to a tour of @edfenergy 's Wapsipinicon #wind farm, outside of Dexter, MN this morning! pic.twitter.com/wGJL5g8l2w";;@edfenergy;#wind;"675328941595430912";https://twitter.com/chriskunkle/status/675328941595430912
edfenergycomms;2015-12-11 14:55;0;0;"EDF Energy confirms it has secured agreements in the second capacity auction run by @nationalgriduk http:// bit.ly/1lTXNFb #CapacityMarket";;@nationalgriduk;#CapacityMarket;"675328075840794625";https://twitter.com/edfenergycomms/status/675328075840794625
IE_AmyD;2015-12-11 14:02;0;1;"Smart Cities Innovation Summit, Singapore 2016 with speakers from @EdfEnergy @ITU &many more http:// buff.ly/1NZjrER pic.twitter.com/5BHIRUGXxF";;@EdfEnergy @ITU;;"675314731570343936";https://twitter.com/IE_AmyD/status/675314731570343936
Kampyle;2015-12-11 13:07;0;1;""Implementing Kampyle was as easy as putting a tag on the site and providing a few assets". EDF Energy http:// hubs.ly/H01vwTd0 #CX";;;#CX;"675300760456962049";https://twitter.com/Kampyle/status/675300760456962049
myGwork;2015-12-11 12:50;0;0;"Great opportunity! @EDFEnergy is looking for someone to join them as Enterprise Architect: http:// ow.ly/VJQEQ #lgbtjobs #jobsearch";;@EDFEnergy;#lgbtjobs #jobsearch;"675296582426861569";https://twitter.com/myGwork/status/675296582426861569
edfenergy;2015-12-11 12:36;0;1;"@NEONGREENNET on fossil fuels to help meet the UK's legal obligations. ^Felice";;@NEONGREENNET;;"675293166690566144";https://twitter.com/edfenergy/status/675293166690566144
edfenergy;2015-12-11 12:36;0;1;"@NEONGREENNET 1/2 Our ambition is to provide the UK with reliable sources of low carbon energy and to reduce CO2 emissions with less";;@NEONGREENNET;;"675293026412068866";https://twitter.com/edfenergy/status/675293026412068866
edfenergy;2015-12-11 12:23;0;0;"@adrian774 Hi Adrian, can you please DM your account number & contact info so we can look into this for you. Thanks, Felice";;@adrian774;;"675289684516450304";https://twitter.com/edfenergy/status/675289684516450304
edfenergy;2015-12-11 12:11;0;0;"@Sarahhartley87 Hi Sarah, I'm sorry to hear this. If you DM your account number & contact info, an advisor will investigate. Thanks, Felice";;@Sarahhartley87;;"675286746091900928";https://twitter.com/edfenergy/status/675286746091900928
LindaFabianiSNP;2015-12-11 12:01;4;5;"Well done @edfenergy in East Kilbride, donating 500 to Loaves and Fishes pic.twitter.com/f3UQ4iiOQl";;@edfenergy;;"675284256214659072";https://twitter.com/LindaFabianiSNP/status/675284256214659072
LindaFabianiSNP;2015-12-11 11:56;5;4;"Well done @edfenergy staff in East Kilbride. Loads of Christmas gifts for EK families. pic.twitter.com/zXytYsEpej";;@edfenergy;;"675283091603202048";https://twitter.com/LindaFabianiSNP/status/675283091603202048
uddin_ruman;2015-12-11 11:36;0;1;"@edfenergy Thanks Simon. Please advise when you do as its only inevitable since you need to keep up with technology as well as competition!!";;@edfenergy;;"675278093741907968";https://twitter.com/uddin_ruman/status/675278093741907968
